nivel,provincia,codigo,nombre,hogares,propia,escritura,boleto,otra_doc,sin_doc,alquilada,cedida_trabajo,prestada,otra
pais,Total del país,Total,Total del país,15932302,10462087,6519700,1539292,1208517,1194578,3341956,206329,1004483,917447
provincia,Ciudad Autónoma de Buenos Aires,02,Ciudad Autónoma de Buenos Aires,1406735,738581,659966,22936,24289,31390,517768,23387,69228,57771
provincia,Buenos Aires,06,Buenos Aires,6051550,4081250,2554252,748089,340979,437930,1166673,59291,374464,369872
provincia,Catamarca,10,Catamarca,135153,105660,52415,17540,21625,14080,14921,855,7027,6690
provincia,Chaco,22,Chaco,374487,281336,149909,33212,56256,41959,42080,3959,22034,25078
provincia,Chubut,26,Chubut,215257,131432,84280,11047,26091,10014,53311,4116,14873,11525
provincia,Córdoba,14,Córdoba,1394400,822978,576722,103895,81962,60399,390211,18900,93240,69071
provincia,Corrientes,18,Corrientes,379129,267448,152590,30236,43364,41258,56816,7124,21381,26360
provincia,Entre Ríos,30,Entre Ríos,500660,333391,228082,26549,40320,38440,96390,8701,31059,31119
provincia,Formosa,34,Formosa,198206,145517,58751,23798,32226,30742,25363,2613,11718,12995
provincia,Jujuy,38,Jujuy,245706,179717,88492,14224,48950,28051,28483,4341,13889,19276
provincia,La Pampa,42,La Pampa,141573,91284,61158,5816,18398,5912,32138,3074,8290,6787
provincia,La Rioja,46,La Rioja,126256,91011,56903,12533,14419,7156,20896,865,7871,5613
provincia,Mendoza,50,Mendoza,652184,394471,255611,49393,55789,33678,143087,17141,59471,38014
provincia,Misiones,54,Misiones,425667,307049,135074,75436,46575,49964,67950,4843,24907,20918
provincia,Neuquén,58,Neuquén,257381,159310,78086,23584,44086,13554,64134,3841,17145,12951
provincia,Río Negro,62,Río Negro,278935,173127,95198,30425,33423,14081,66995,4416,20131,14266
provincia,Salta,66,Salta,418430,294527,166632,29810,39806,58279,60595,6847,27349,29112
provincia,San Juan,70,San Juan,247094,158264,84109,17673,34282,22200,40112,2727,30092,15899
provincia,San Luis,74,San Luis,185549,116049,64814,14883,27793,8559,40102,2121,15430,11847
provincia,Santa Cruz,78,Santa Cruz,119262,68774,34708,8653,20001,5412,35997,2246,6340,5905
provincia,Santa Fe,82,Santa Fe,1289967,846120,588752,120188,60197,76983,275145,17003,75647,76052
provincia,Santiago del Estero,86,Santiago del Estero,316992,264842,108377,28153,50909,77403,21090,2510,15389,13161
provincia,Tucumán,90,Tucumán,505542,373266,165689,85772,38269,83536,60349,4333,34068,33526
provincia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur(²)",94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur(²)",66187,36683,19130,5447,8508,3598,21350,1075,3440,3639
comuna,Ciudad Autónoma de Buenos Aires,02007,Comuna 1,106509,43938,33347,1769,2019,6803,51478,2658,4672,3763
comuna,Ciudad Autónoma de Buenos Aires,02014,Comuna 2,83818,39194,37734,401,722,337,34629,2953,4361,2681
comuna,Ciudad Autónoma de Buenos Aires,02021,Comuna 3,92555,38526,35984,797,1242,503,44364,1578,4515,3572
comuna,Ciudad Autónoma de Buenos Aires,02028,Comuna 4,91186,49024,35450,3813,2551,7210,31452,795,4562,5353
