barrio_tal_cual,avisos,primer_anio,ultimo_anio
AGRONOMIA,1623,2001,2020
ALMAGRO,32835,2001,2020
BALVANERA,32350,2001,2020
BARRACAS,4658,2001,2018
BARRACAS ESTE,3126,2019,2020
BARRACAS OESTE,5,2019,2020
BELGRANO,43986,2001,2020
BOCA,3425,2001,2020
BOEDO,5351,2001,2020
CABALLITO,39911,2001,2020
CHACARITA,6718,2001,2020
COGHLAN,4763,2001,2020
COLEGIALES,13398,2001,2020
CONSTITUCION,8350,2001,2020
FLORES,13472,2001,2018
FLORES NORTE,8772,2019,2020
FLORES SUR,1095,2019,2020
FLORESTA,4389,2001,2020
LINIERS,6398,2001,2020
MATADEROS,3444,2001,2020
MONSERRAT,1693,2001,2016
MONTE CASTRO,4035,2001,2020
MONTSERRAT,8556,2007,2020
NU?ÆEZ,2533,2020,2020
NUEVA POMPEYA,1277,2001,2020
NUNEZ,1203,2009,2013
NUÃ‘EZ,348,2019,2019
NUÑEZ,10035,2001,2020
NUÔÖ£├ªEZ,481,2018,2018
NUÔÖ£├Ó├Ö├Ç├┐EZ,866,2018,2018
NU├ÆEZ,1190,2018,2018
PALERMO,84152,2001,2020
PARQUE AVELLANED,37,2008,2008
PARQUE AVELLANEDA,1698,2001,2020
PARQUE CHACABUCO,8045,2001,2020
PARQUE CHAS,2477,2001,2020
PARQUE PATRICIOS,3059,2001,2020
PATERNAL,2232,2001,2020
PUERTO MADERO,7212,2001,2020
RECOLETA,51244,2001,2020
RETIRO,12577,2001,2020
SAAVEDRA,10945,2001,2020
SAN CRISTOBAL,8985,2001,2020
SAN NICOLAS,12833,2001,2020
SAN TELMO,7301,2001,2020
VELEZ SARSFIELD,3657,2001,2020
VERSALLES,917,2001,2020
VILLA CRESPO,26430,2001,2020
VILLA DEL PARQUE,6850,2001,2020
VILLA DEVOTO,4150,2001,2018
VILLA DEVOTO NORTE,2322,2019,2020
VILLA DEVOTO SUR,1523,2019,2020
VILLA GRAL. MITR,51,2008,2008
VILLA GRAL. MITRE,4658,2001,2020
VILLA LUGANO,1850,2001,2020
VILLA LURO,4601,2001,2020
VILLA ORTUZAR,4602,2001,2020
VILLA PUEYRREDON,5125,2001,2020
VILLA REAL,574,2001,2020
VILLA RIACHUELO,323,2001,2020
VILLA SANTA RITA,4361,2001,2020
VILLA SOLDATI,218,2004,2020
VILLA URQUIZA,23633,2001,2020
,1399,2007,2020
