anio,avisos,duplicados,pct_duplicados
2001,12911.0,173.0,1.3
2002,7363.0,70.0,1.0
2003,13525.0,189.0,1.4
2004,4808.0,12.0,0.2
2005,3503.0,5.0,0.1
2006,3448.0,8.0,0.2
2007,7910.0,26.0,0.3
2008,7524.0,238.0,3.2
2009,23614.0,379.0,1.6
2010,18466.0,18.0,0.1
2011,17314.0,0.0,0.0
2012,8828.0,1.0,0.0
2013,17576.0,17.0,0.1
2014,12724.0,43.0,0.3
2015,11414.0,14.0,0.1
2016,7564.0,2518.0,33.3
2017,72124.0,41908.0,58.1
2018,84813.0,6582.0,7.8
2019,88640.0,13002.0,14.7
2020,156258.0,74835.0,47.9
