anio,m2_p01_1_50_99_999,usd_m2_p01_1_50_99_999,m2_menor_15,m2_mayor_500,usd_m2_menor_300,usd_m2_mayor_15000
2001,[ 22.    30.    72.   250.   370.45],[ 254.43636364  393.81161972  872.09302326 1647.44047619 2722.39130435],0.0,1.0,33.0,0.0
2002,[ 21.    27.    70.   260.   396.38],[  77.82067774  154.87120871  471.15384615 1169.01234568 1782.07407407],0.0,3.0,928.0,0.0
2003,[ 21.    27.    70.   245.76 417.38],[ 137.85275463  214.41269841  571.42857143 1202.81481481 1941.46976744],0.0,5.0,610.0,0.0
2004,[ 35.     41.     67.    160.    215.965],[ 161.92970588  305.5952381   773.33333333 1774.97848306 2963.23966535],0.0,0.0,45.0,0.0
2005,[ 16.502  22.     64.    140.    226.474],[ 299.06625     405.44881245  866.66666667 2071.96396396 3352.8147678 ],0.0,0.0,4.0,0.0
2006,[ 18.894  29.     68.    247.65  550.083],[ 368.18777429  525.56678037 1053.26241135 2509.26573427 3821.75957207],0.0,5.0,1.0,0.0
2007,[ 20.      27.      70.     310.     445.6496],[ 362.79809524  530.06315789 1206.89655172 2976.06177606 4000.        ],0.0,5.0,3.0,0.0
2008,[  2.2   24.    65.   291.44 477.86],"[1.12888889e+00 5.70663158e+02 1.53225806e+03 3.34860606e+03
 2.21039140e+04]",27.0,4.0,22.0,10.0
2009,[ 19.     24.     63.    300.87  501.548],[ 458.62384454  703.33706386 1607.14285714 3720.54263566 5510.32      ],2.0,24.0,3.0,0.0
2010,[ 19.     25.     65.    283.    477.675],[ 456.99425795  669.45721925 1709.09560724 3885.07337526 6086.29253858],1.0,9.0,0.0,1.0
2011,[ 18.2191  25.      65.     335.87   510.    ],[ 565.07362319  866.84722222 2041.66666667 4877.44674282 7350.24319419],1.0,19.0,0.0,0.0
2012,[ 20.     25.     66.    357.46  629.173],"[  567.30952381   997.635       2250.          5388.29216274
 14944.86666667]",0.0,22.0,1.0,8.0
2013,[ 20.  25.  64. 340. 600.],"[  611.76303855   909.09090909  2102.06207483  4602.73942918
 13015.11359261]",0.0,37.0,0.0,11.0
2014,[ 18.     24.     63.    365.77  582.108],[ 656.31006865  987.37816456 2200.         5302.33333333 8017.87096774],3.0,22.0,0.0,0.0
2015,[ 18.     23.     68.    360.    596.283],[ 545.82444062  876.66177908 2099.52830189 5313.97335189 7838.79656739],3.0,19.0,0.0,0.0
2016,[ 19.     24.     54.    262.96  589.866],[ 685.54728132 1182.81717814 2388.15775772 5783.13253012 7837.15667311],0.0,11.0,5.0,0.0
2017,[  6.  23.  63. 360. 556.],"[  150.54083616  1187.5         2622.22222222  6874.77124183
 25704.        ]",117.0,140.0,123.0,112.0
2018,[  4.  22.  62. 335. 551.],"[  814.66530612  1265.06024096  2850.          7528.30188679
 38178.33333333]",226.0,133.0,13.0,214.0
2019,[ 10.72  23.    62.   347.   613.52],"[  654.56278027  1217.94871795  2785.71428571  7187.5
 16583.63707559]",108.0,218.0,44.0,99.0
2020,[ 19.  23.  58. 290. 508.],"[  642.85714286  1086.27253446  2682.92682927  6523.32350774
 10018.62155388]",17.0,167.0,21.0,4.0
