anio,familia_esquema,avisos,precio_nulo_o_cero,m2_nulo_o_cero,sin_barrio,no_venta_o_no_depto
2001,2001-2014,12911,0.0,0.0,0.0,0.0
2002,2001-2014,7363,0.0,0.0,0.0,0.0
2003,2001-2014,13525,0.0,0.0,0.0,0.0
2004,2001-2014,4808,0.0,0.0,0.0,0.0
2005,2001-2014,3503,0.0,0.0,0.0,0.0
2006,2001-2014,3448,0.0,0.0,0.0,0.0
2007,2001-2014,7910,5.0,5.0,5.0,0.0
2008,2001-2014,7524,54.0,54.0,0.0,0.0
2009,2001-2014,23614,0.0,0.0,0.0,0.0
2010,2001-2014,18466,0.0,0.0,0.0,0.0
2011,2001-2014,17314,0.0,0.0,0.0,0.0
2012,2001-2014,8828,0.0,0.0,0.0,0.0
2013,2001-2014,17576,0.0,0.0,0.0,0.0
2014,2001-2014,12724,0.0,0.0,0.0,0.0
2015,2015,11414,0.0,0.0,0.0,838.0
2016,2016,7564,0.0,0.0,1382.0,0.0
2017,2017-shp,72124,0.0,3.0,0.0,0.0
2018,2018-shp,84813,0.0,626.0,0.0,0.0
2019,2019-shp,88640,0.0,1919.0,2.0,26.0
2020,2020,156258,0.0,0.0,10.0,0.0
