anio,avisos_crudos,r1_no_venta_depto,r2_precio_m2_invalido,r3_barrio_invalido,r4_duplicados,r5_outliers,avisos_limpios,pct_conservado
2001,12911,0.0,1.0,0.0,173.0,74.0,12663.0,98.1
2002,7363,0.0,3.0,0.0,70.0,8.0,7282.0,98.9
2003,13525,0.0,5.0,0.0,188.0,4.0,13328.0,98.5
2004,4808,0.0,0.0,0.0,12.0,8.0,4788.0,99.6
2005,3503,0.0,0.0,0.0,5.0,2.0,3496.0,99.8
2006,3448,0.0,5.0,0.0,8.0,7.0,3428.0,99.4
2007,7910,0.0,10.0,0.0,22.0,6.0,7872.0,99.5
2008,7524,0.0,126.0,0.0,238.0,10.0,7150.0,95.0
2009,23614,0.0,26.0,0.0,378.0,35.0,23175.0,98.1
2010,18466,0.0,10.0,0.0,17.0,20.0,18419.0,99.7
2011,17314,0.0,20.0,0.0,0.0,14.0,17280.0,99.8
2012,8828,0.0,22.0,0.0,1.0,25.0,8780.0,99.5
2013,17576,0.0,37.0,0.0,17.0,40.0,17482.0,99.5
2014,12724,0.0,25.0,0.0,43.0,20.0,12636.0,99.3
2015,11414,61.0,22.0,0.0,14.0,24.0,11293.0,98.9
2016,7564,0.0,11.0,1378.0,2060.0,11.0,4104.0,54.3
2017,72124,0.0,260.0,0.0,28866.0,168.0,42830.0,59.4
2018,84813,0.0,985.0,0.0,5556.0,155.0,78117.0,92.1
2019,88640,26.0,2230.0,2.0,12592.0,161.0,73629.0,83.1
2020,156258,0.0,184.0,10.0,74628.0,138.0,81298.0,52.0
