anio,fuente_precio,usd_m2,salario_usd,m2_por_salario,anios_salario_60m2
2001,GCBA avisos (mediana),872.0,883.0,1.01,4.6
2002,GCBA avisos (mediana),471.0,263.0,0.56,8.3
2003,GCBA avisos (mediana),571.0,318.0,0.56,8.3
2004,GCBA avisos (mediana),773.0,371.0,0.48,9.6
2005,GCBA avisos (mediana),867.0,420.0,0.49,9.5
2006,GCBA avisos (mediana),1052.0,499.0,0.47,9.7
2007,GCBA avisos (mediana),1206.0,603.0,0.5,9.2
2008,GCBA avisos (mediana),1533.0,763.0,0.5,9.3
2009,GCBA avisos (mediana),1608.0,739.0,0.46,10.0
2010,GCBA avisos (mediana),1709.0,888.0,0.52,8.9
2011,GCBA avisos (mediana),2042.0,1129.0,0.55,8.3
2012,GCBA avisos (mediana),2250.0,1373.0,0.61,7.6
2013,GCBA avisos (mediana),2101.0,1465.0,0.7,6.6
2014,GCBA avisos (mediana),2200.0,1304.0,0.59,7.8
2015,GCBA avisos (mediana),2100.0,1517.0,0.72,6.4
2016,GCBA avisos (mediana),2345.0,1254.0,0.53,8.6
2017,GCBA avisos (mediana),2596.0,1443.0,0.56,8.3
2018,GCBA avisos (mediana),2846.0,1080.0,0.38,12.2
2019,GCBA avisos (mediana),2780.0,884.0,0.32,14.5
2020,GCBA avisos (mediana),2674.0,848.0,0.32,14.6
2026,Zonaprop Index jul-26 (promedio),2471.0,1258.0,0.51,9.1
