zona,m2,usd_m2,precio_usd,precio_ars,prestamo_ars,cuota_ars,efectivo_necesario_ars,efectivo_necesario_usd,ingreso_requerido_por_cuota,ingreso_requerido_por_anticipo,ingreso_requerido,anios_ahorro_20pct_ingreso_mediano
CABA,45,2471.0,111195.0,170320717.35,127740538.01249999,1029069.0796351524,54502629.55200001,35582.40000000001,4116276.3185406094,4541885.796000001,4541885.796000001,10.428890141425528
CABA,60,2471.0,148260.0,227094289.8,170320717.35000002,1372092.1061802036,72670172.73599999,47443.19999999999,5488368.424720814,6055847.727999999,6055847.727999999,13.905186855234033
CABA,75,2471.0,185325.0,283867862.25,212900896.6875,1715115.1327252542,90837715.92,59304.0,6860460.530901017,7569809.66,7569809.66,17.381483569042544
GBA Norte,45,2125.320422195522,95639.41899879849,146493767.2630296,109870325.44727221,885107.8635364386,46878005.52416947,30604.614079615512,3540431.454145754,3906500.4603474555,3906500.4603474555,8.969944637153061
GBA Norte,60,2125.320422195522,127519.22533173132,195325023.01737282,146493767.2630296,1180143.8180485845,62504007.36555931,40806.152106154026,4720575.272194338,5208667.2804632755,5208667.2804632755,11.959926182870753
GBA Norte,75,2125.320422195522,159399.03166466416,244156278.77171603,183117209.07878703,1475179.772560731,78130009.20694911,51007.69013269252,5900719.090242924,6510834.100579093,6510834.100579093,14.949907728588435
GBA Oeste,45,1506.2943192080145,67783.24436436065,103825628.89022215,77869221.66766661,627309.1496264874,33224201.244871084,21690.638196595406,2509236.5985059496,2768683.4370725905,2768683.4370725905,6.357336291247972
GBA Oeste,60,1506.2943192080145,90377.65915248088,138434171.85362953,103825628.89022215,836412.1995019831,44298934.993161455,28920.850928793883,3345648.7980079325,3691577.916096788,3691577.916096788,8.476448388330631
GBA Oeste,75,1506.2943192080145,112972.07394060108,173042714.8170369,129782036.11277768,1045515.2493774788,55373668.7414518,36151.06366099234,4182060.9975099154,4614472.395120983,4614472.395120983,10.595560485413284
GBA Sur,45,1733.091001169027,77989.09505260622,119458236.56492853,89593677.4236964,721760.5671780558,38226635.70077713,24956.51041683399,2887042.268712223,3185552.9750647605,3185552.9750647605,7.314534866970847
GBA Sur,60,1733.091001169027,103985.46007014162,159277648.75323802,119458236.56492852,962347.4229040742,50968847.60103617,33275.34722244532,3849389.691616297,4247403.966753014,4247403.966753014,9.752713155961128
GBA Sur,75,1733.091001169027,129981.82508767703,199097060.94154754,149322795.70616066,1202934.278630093,63711059.50129521,41594.18402805665,4811737.114520372,5309254.958441268,5309254.958441268,12.190891444951411
Gran Córdoba,45,1474.0,66330.0,101599650.9,76199738.17500001,613859.9042420943,32511888.287999995,21225.599999999995,2455439.616968377,2709324.0239999997,2709324.0239999997,6.2210376642902565
Gran Córdoba,60,1474.0,88440.0,135466201.2,101599650.89999999,818479.8723227922,43349184.383999996,28300.799999999996,3273919.4892911687,3612432.0319999997,3612432.0319999997,8.294716885720343
Gran Córdoba,75,1474.0,110550.0,169332751.5,126999563.625,1023099.8404034904,54186480.480000004,35376.0,4092399.3616139614,4515540.04,4515540.04,10.36839610715043
