etapa,hogares,pct_del_total,pct_de_etapa_anterior,muestra_hogares,mercado
Inquilinos,432434.5,100.0,100.0,437,CABA
Pagan la cuota,89256.25,20.64040912554387,20.64040912554387,76,CABA
Juntan el anticipo,66565.5,15.393198276270741,74.57797073034101,63,CABA
Ingreso demostrable,46636.5,10.78463906094449,70.06106767018952,45,CABA
Cumplen la edad,46636.5,10.78463906094449,100.0,45,CABA
Inquilinos,180864.5,100.0,100.0,521,Gran Córdoba
Pagan la cuota,50344.75,27.8356172714933,27.8356172714933,149,Gran Córdoba
Juntan el anticipo,40721.0,22.514644941378766,80.88430273265833,123,Gran Córdoba
Ingreso demostrable,28575.75,15.799535011016534,70.17447999803541,85,Gran Córdoba
Cumplen la edad,28575.75,15.799535011016534,100.0,85,Gran Córdoba
Inquilinos,631488.75,100.0,100.0,546,Partidos del GBA
Pagan la cuota,135749.06500228975,21.496671952159044,21.496671952159044,248,Partidos del GBA
Juntan el anticipo,112595.97949652438,17.830243135214108,82.94420259515243,211,Partidos del GBA
Ingreso demostrable,81190.820979658,12.857049469156497,72.10809954556522,146,Partidos del GBA
Cumplen la edad,79580.88579996946,12.602106656685406,98.01709705572272,143,Partidos del GBA
