etapa,hogares,pct_del_total,pct_de_etapa_anterior,muestra_hogares,zona
Inquilinos,432434.5,100.0,100.0,437,CABA
Pagan la cuota,89256.25,20.64040912554387,20.64040912554387,76,CABA
Juntan el anticipo,66565.5,15.393198276270741,74.57797073034101,63,CABA
Ingreso demostrable,46636.5,10.78463906094449,70.06106767018952,45,CABA
Cumplen la edad,46636.5,10.78463906094449,100.0,45,CABA
Inquilinos,203544.98430039774,100.0,100.0,546,GBA Norte
Pagan la cuota,33595.47239477768,16.505183122172387,16.505183122172387,248,GBA Norte
Juntan el anticipo,27470.37017951893,13.495970079507016,81.76807236617135,211,GBA Norte
Ingreso demostrable,19436.668404117583,9.54907755203261,70.75502906258238,146,GBA Norte
Cumplen la edad,19112.740569284608,9.389934433892734,98.33341893735064,143,GBA Norte
Inquilinos,219356.70385207393,100.0,100.0,546,GBA Oeste
Pagan la cuota,58728.41099071098,26.773018539846067,26.773018539846067,202,GBA Oeste
Juntan el anticipo,49946.835910711205,22.769687469589947,85.04714339812676,177,GBA Oeste
Ingreso demostrable,36649.4693488499,16.70770425761182,73.3769590817871,119,GBA Oeste
Cumplen la edad,35989.55382034256,16.406862971743315,98.19938585678854,117,GBA Oeste
Inquilinos,208587.06184752833,100.0,100.0,546,GBA Sur
Pagan la cuota,43425.181616801085,20.818732107432318,20.818732107432318,157,GBA Sur
Juntan el anticipo,35178.77340629426,16.865271074199715,81.01007778556692,137,GBA Sur
Ingreso demostrable,25104.683226690526,12.035589841637153,71.3631568012509,94,GBA Sur
Cumplen la edad,24478.591410342306,11.735431331898962,97.50607561666989,92,GBA Sur
Inquilinos,180864.5,100.0,100.0,521,Gran Córdoba
Pagan la cuota,50344.75,27.8356172714933,27.8356172714933,149,Gran Córdoba
Juntan el anticipo,40721.0,22.514644941378766,80.88430273265833,123,Gran Córdoba
Ingreso demostrable,28575.75,15.799535011016534,70.17447999803541,85,Gran Córdoba
Cumplen la edad,28575.75,15.799535011016534,100.0,85,Gran Córdoba
