etapa,hogares,pct_del_total,pct_de_etapa_anterior,muestra_hogares,zona
Inquilinos,432434.5,100.0,100.0,437,CABA
Pagan la cuota,103513.5,23.937382424390282,23.937382424390282,89,CABA
Juntan el anticipo,101984.25,23.583745052718967,98.52265646509875,88,CABA
Ingreso demostrable,76028.75,17.58156437564533,74.54950151616549,67,CABA
Cumplen la edad,68328.0,15.800774452547149,89.87126580405439,60,CABA
Inquilinos,203544.98430039774,100.0,100.0,546,GBA Norte
Pagan la cuota,38919.03891155078,19.120608176771825,19.120608176771825,270,GBA Norte
Juntan el anticipo,38194.18654399563,18.76449408727631,98.13753785338204,268,GBA Norte
Ingreso demostrable,26596.145278387907,13.066470475704046,69.63401419153668,176,GBA Norte
Cumplen la edad,22987.826793422493,11.293732868158704,86.43292685012688,156,GBA Norte
Inquilinos,219356.70385207393,100.0,100.0,546,GBA Oeste
Pagan la cuota,66075.42016771683,30.122361891558903,30.122361891558903,225,GBA Oeste
Juntan el anticipo,65845.89274058588,30.01772527772387,99.65262812321383,224,GBA Oeste
Ingreso demostrable,46696.57681568391,21.28796430455773,70.91797965236064,155,GBA Oeste
Cumplen la edad,40614.54652637024,18.515297601188973,86.97542581478713,137,GBA Oeste
Inquilinos,208587.06184752833,100.0,100.0,546,GBA Sur
Pagan la cuota,50341.94592100094,24.13474041731293,24.13474041731293,177,GBA Sur
Juntan el anticipo,49980.044551817526,23.96123906685623,99.28111366662043,175,GBA Sur
Ingreso demostrable,36108.08513226818,17.31079809670182,72.24500389316901,117,GBA Sur
Cumplen la edad,31212.159160680818,14.963612260618584,86.44091495394174,105,GBA Sur
Inquilinos,180864.5,100.0,100.0,521,Gran Córdoba
Pagan la cuota,59548.0,32.924095109875076,32.924095109875076,177,Gran Córdoba
Juntan el anticipo,59166.25,32.713025496988074,99.3589205346947,177,Gran Córdoba
Ingreso demostrable,41595.5,22.998156078169018,70.30274861090571,121,Gran Córdoba
Cumplen la edad,37809.0,20.904599852375675,90.89685182291353,112,Gran Córdoba
