m2,integrantes,pct_elegible
30,1,16.642015292702048
30,2,37.774732560133785
30,3,41.716822991700475
30,4,38.34230496218542
30,5 o más,25.14910118587467
35,1,11.785147148249047
35,2,31.32121525473302
35,3,32.655279955128634
35,4,32.2386781596424
35,5 o más,21.11119162946892
40,1,7.719901246922388
40,2,27.57578664812936
40,3,28.40590257277597
40,4,27.751954675424294
40,5 o más,17.818615249158892
45,1,5.811866644831113
45,2,22.72280698329958
45,3,24.769472801069416
45,4,21.501712881932626
45,5 o más,14.540087222257014
50,1,4.286166210535316
50,2,18.62447966596767
50,3,20.69394279477328
50,4,17.768532659074392
50,5 o más,9.603564875023611
55,1,3.404656040850442
55,2,16.65838455406921
55,3,16.64765877353697
55,4,14.403074065043656
55,5 o más,8.12671206843409
60,1,2.254735623968828
60,2,12.94577267977027
60,3,11.436224226747454
60,4,12.584598476000213
60,5 o más,6.555298397824098
65,1,1.3649633076245795
65,2,10.075217795414623
65,3,9.227593714259726
65,4,9.653831856256565
65,5 o más,5.8917275951176915
70,1,0.8894545522716665
70,2,8.36497595229744
70,3,7.507022292469493
70,4,7.424702046550451
70,5 o más,5.100044144111931
75,1,0.841885601232911
75,2,7.240989256854763
75,3,6.568982111924724
75,4,5.527269916251995
75,5 o más,4.9112055496329035
80,1,0.648559803039038
80,2,6.059658017855167
80,3,5.464843671391617
80,4,4.135369549838507
80,5 o más,4.358451471616476
85,1,0.4749757790615452
85,2,5.553057094721063
85,3,3.96923180629502
85,4,3.4908863328642283
85,5 o más,1.6117850486668799
90,1,0.4490932991083885
90,2,4.41270565448246
90,3,3.63620691715934
90,4,2.7396847569321205
90,5 o más,1.1489624520669104
