partido,corredor,en_24_partidos,precio_propio_zonaprop,nota
Vicente López,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
San Isidro,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
Tigre,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
San Fernando,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
Escobar,Norte,0,1,Corredor según Zonaprop Index GBA jul-2026; partido parcialmente incluido en el aglomerado
Pilar,Norte,0,1,Corredor según Zonaprop Index GBA jul-2026; partido parcialmente incluido en el aglomerado
General San Martín,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
San Miguel,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
Malvinas Argentinas,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
José C. Paz,Norte,1,1,Corredor según Zonaprop Index GBA jul-2026
Ituzaingó,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
Morón,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
Merlo,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
La Matanza,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
Tres de Febrero,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
Hurlingham,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
Moreno,Oeste,1,1,Corredor según Zonaprop Index GBA jul-2026
General Rodríguez,Oeste,0,0,Sin precio propio: corredor asignado por ubicación geográfica; se usa el precio ponderado del corredor
Marcos Paz,Oeste,0,0,Sin precio propio: corredor asignado por ubicación geográfica; se usa el precio ponderado del corredor
Ezeiza,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Lomas de Zamora,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Almirante Brown,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Quilmes,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Berazategui,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Esteban Echeverría,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Lanús,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Avellaneda,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Florencio Varela,Sur,1,1,Corredor según Zonaprop Index GBA jul-2026
Cañuelas,Sur,0,0,Sin precio propio: corredor asignado por ubicación geográfica; se usa el precio ponderado del corredor
Presidente Perón,Sur,0,0,Sin precio propio: corredor asignado por ubicación geográfica; se usa el precio ponderado del corredor
San Vicente,Sur,0,0,Sin precio propio: corredor asignado por ubicación geográfica; se usa el precio ponderado del corredor
